Date,Month,Year,Station,Gear,Effort,Count,ID,sex,shell,Condition,weight (g),Carapace width (base) (mm),Carapace width (lateral spines) (mm),Carapace length (mm),Abdomen width (mm),Claw length (mm),Claw Height (mm),Maturity,eggs (Y/N) (L/M/S),egg color,Spong_col,Overy weight (g),Overy color,Ova_dev,GSI,Embyro_day,ovigerous,Year_month
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,68.4,83.82,105.96,50.32,37.02,41.82,15.6,M,N,ABSENT,0,3.65,ORANGE,3,5.33625731,18,non-ovigerous,2021-10
10/14/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,OK,59.85,79.66,102.47,46.79,32.49,44.72,15.88,M,N,ABSENT,0,3.19,ORANGE,3,5.329991646,18,non-ovigerous,2021-10
10/13/21,October,2021,BC,Trap,5,1,BOCOURTI,F,NA,R1,76.03,84.16,96.22,51.23,36.32,46.79,15.81,M,N,ABSENT,0,4.05,DARK ORANGE,3,5.326844667,18,non-ovigerous,2021-10
10/14/21,October,2021,BC,Trap,5,1,ORNATUS,F,NA,R1,41.02,73.14,91,41.91,31.72,38.99,11.01,M,N,ABSENT,0,2.18,DARK ORANGE,3,5.314480741,18,non-ovigerous,2021-10
10/13/21,October,2021,BC,Trap,5,1,ORNATUS,F,NA,"L1,L2,R2",46.2,75.5,103.2,45.5,32.1,51.1,15.5,M,N,ABSENT,0,2.4,DARK ORANGE,3,5.194805195,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,91.13,95,123,56,40,55,19,M,N,ABSENT,0,4.72,ORANGE,3,5.179414024,18,non-ovigerous,2021-01
10/14/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,OK,48.65,74.5,95.72,44.01,31.81,41.78,13.44,M,N,ABSENT,0,2.51,ORANGE,3,5.159301131,18,non-ovigerous,2021-10
10/21/20,October,2020,BC,Trap,5,1,SAPIDUS,F,hard,OK,76.93,88.42,111.28,51.71,36.91,45.23,15.39,m,absent,ABSENT,0,3.88,ORANGE,3,5.043546081,18,non-ovigerous,2020-10
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,"L1,SPINE",111.7,104.1,125,61.5,40.8,58.6,15.2,M,N,ABSENT,0,5.63,ORANGE,3,5.040286482,18,non-ovigerous,2021-10
7/14/21,July,2021,AP,Trap,5,1,SAPIDUS,F,H,"R1,R3,L1,L2",134.02,106.1,144.19,65.47,50.85,N/A,N/A,M,N,ABSENT,0,6.61,DARK ORANGE,3,4.932099687,18,non-ovigerous,2021-07
7/13/21,July,2021,BC,Trap,5,1,BOCOURTI,F,H,L1,71.4,84.21,95.61,51.91,32.3,47.9,14.79,M,N,ABSENT,0,3.5,DARK ORANGE,3,4.901960784,18,non-ovigerous,2021-07
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,L1,103.44,103,125,60,43,60,16,M,N,ABSENT,0,5.07,ORANGE,3,4.901392111,18,non-ovigerous,2021-01
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,121.2,105,126,60,43,65,20,M,N,ABSENT,0,5.89,ORANGE,3,4.859735974,18,non-ovigerous,2021-01
1/19/21,January,2021,AP,Trap,5,1,BOCOURTI,F,H,NA,104,88.34,100.21,52.94,37.49,50.32,18.95,M,N,ABSENT,0,4.87,ORANGE,3,4.682692308,18,non-ovigerous,2021-01
7/13/21,July,2021,BC,Trap,5,1,SIMILIS,F,dark,L1,49.63,79.25,102.16,46.95,29.29,45.92,14.03,M,N,ABSENT,0,2.32,DARK ORANGE,3,4.674591981,18,non-ovigerous,2021-07
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,NA,R1,87.2,87.6,99.31,61.36,38.77,51.29,16.65,M,N,ABSENT,0,4.06,DARK ORANGE,3,4.655963303,18,non-ovigerous,2021-04
10/15/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,"L4,L5",76.1,86.8,105.5,53.1,40,50.6,16.1,M,N,ABSENT,0,3.51,DARK ORANGE,3,4.612352168,18,non-ovigerous,2021-10
10/14/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,OK,64.68,81.37,101.52,49.05,36.43,43.27,14.89,M,N,ABSENT,0,2.98,ORANGE,3,4.607297464,18,non-ovigerous,2021-10
4/20/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,R1,73.45,84.68,100.78,60.36,39.3,45.18,13.33,M,N,ABSENT,0,3.38,BEIGE,1,4.601769912,18,non-ovigerous,2021-04
4/19/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,L1,71.78,85.38,108.03,49.38,33.54,49.42,16.67,M,N,ABSENT,0,3.26,ORANGE,3,4.541655057,18,non-ovigerous,2021-04
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,76.1,88.15,160.89,52.2,38.54,45.87,15.77,M,N,ABSENT,0,3.41,ORANGE,3,4.480946124,18,non-ovigerous,2021-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,89.29,90.05,111.12,54.46,31.14,47.78,16.67,M,N,ABSENT,0,3.98,DARK ORANGE,3,4.457386045,18,non-ovigerous,2021-07
10/21/20,October,2020,DY,Trap,5,1,SAPIDUS,F,hard,OK,129.54,102.68,132.83,59.42,43.73,53.54,19.77,m,absent,ABSENT,0,5.55,ORANGE,3,4.284390922,18,non-ovigerous,2020-10
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,87.1,68,112,54,38.1,47.2,15.6,m,absent,ABSENT,0,3.7,ORANGE,3,4.247990815,18,non-ovigerous,2020-10
4/19/21,April,2021,BC,Trap,5,1,BOCOURTI,F,H,R1,102.29,91.66,104.97,55.12,38.97,53.57,21.21,M,N,ABSENT,0,4.25,ORANGE,3,4.154853847,18,non-ovigerous,2021-04
10/15/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,"L1,L5,R5",109.92,105.61,117.17,61.05,44.29,49.6,14.45,M,N,ABSENT,0,4.56,ORANGE,3,4.148471616,18,non-ovigerous,2021-10
10/13/21,October,2021,BC,Trap,5,1,EXASPERATUS,F,NA,OLD BROKEN CLAW,141.4,109.8,135.5,63.2,44.4,58.7,22.2,M,N,ABSENT,0,5.7,DARK ORANGE,3,4.031117397,18,non-ovigerous,2021-10
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,70.45,79.2,93.02,53.8,35.66,38.32,13.29,M,N,ABSENT,0,2.81,DARK ORANGE,3,3.988644429,18,non-ovigerous,2021-04
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,83.54,83.18,94.25,51.44,32,47.85,17.7,M,N,ABSENT,0,3.3,DARK ORANGE,3,3.950203495,18,non-ovigerous,2021-04
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,95,71,120,55.5,41,49,20,m,absent,ABSENT,0,3.7,ORANGE,3,3.894736842,18,non-ovigerous,2020-10
10/20/20,October,2020,IM,Trap,5,1,SAPIDUS,F,hard,L4,71.2,59.22,107,49,37.5,45,16,m,absent,ABSENT,0,2.7,DARK ORANGE,3,3.792134831,18,non-ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,OK,74.23,84.07,102.46,51.67,36.3,43.02,14.11,m,absent,ABSENT,0,2.76,BEIGE,1,3.718173245,18,non-ovigerous,2020-10
1/19/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,65,88.23,113.8,51.84,38.31,44.79,16.19,M,N,ABSENT,0,2.33,ORANGE,3,3.584615385,18,non-ovigerous,2021-01
1/19/21,January,2021,BC,Trap,5,1,EXASPERATUS,F,H,R5,87,86.39,98.82,52.93,36.87,53.01,19.4,M,N,ABSENT,0,3.08,ORANGE,3,3.540229885,18,non-ovigerous,2021-01
10/21/20,October,2020,AP,Trap,5,1,ORNATUS,F,hard,OK,151.02,107.54,132.57,63.11,44.55,64.6,22.52,M,yes,ABSENT,0,5.3,LIGHT ORANGE,2,3.509468945,18,non-ovigerous,2020-10
10/14/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,R1,55.95,80.9,102.58,48.2,35.49,41.05,10.95,M,N,ABSENT,0,1.92,ORANGE,3,3.431635389,18,non-ovigerous,2021-10
10/14/21,October,2021,BC,Trap,5,1,LARVATUS,F,NA,OK,54.27,75.75,92.42,42.24,30.51,43.1,16.44,M,N,ABSENT,0,1.82,ORANGE,3,3.353602359,18,non-ovigerous,2021-10
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,R3,132,79.61,134.17,60.76,44,57,19.4,m,absent,ABSENT,0,4.2,DARK ORANGE,3,3.181818182,18,non-ovigerous,2020-10
7/13/21,July,2021,BC,Trap,5,1,BOCOURTI,F,H,OK,80.1,83.26,94.33,51.13,35.52,46.73,20,M,N,ABSENT,0,2.52,ORANGE,3,3.146067416,18,non-ovigerous,2021-07
10/17/20,October,2020,BC,Trap,5,1,BOCOURTI,F,hard,L1,99.6,77,121,60,44.1,50.2,17,M,absent,ABSENT,0,3.1,ORANGE,3,3.112449799,18,non-ovigerous,2020-10
7/14/21,July,2021,AP,Trap,5,1,SAPIDUS,F,H,OK,86.19,93.37,118.84,52.3,33.32,55.54,15.55,M,N,ABSENT,0,2.54,DARK ORANGE,3,2.946977608,18,non-ovigerous,2021-07
10/13/21,October,2021,BC,Trap,5,1,SIMILIS,F,NA,OK,44.56,73.31,88.33,42.25,31.19,38.46,11.92,M,N,ABSENT,0,1.31,DARK ORANGE,3,2.939856373,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,"L4-R1, 4",93.84,97,118,57,40,56,18,M,N,ABSENT,0,2.7,ORANGE,3,2.877237852,18,non-ovigerous,2021-01
10/14/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,"R1,R2,L3",80,91.2,108.8,57.2,40.4,50.1,14.1,M,N,ABSENT,0,2.28,ORANGE,3,2.85,18,non-ovigerous,2021-10
10/15/21,October,2021,BC,Trap,5,1,ORNATUS,F,NA,OK,70.74,84.45,108.11,47.81,37.23,45.94,15.2,M,N,ABSENT,0,1.97,ORANGE,3,2.784845915,18,non-ovigerous,2021-10
10/15/21,October,2021,DY,Trap,5,1,SAPIDUS,F,NA,OK,81.8,88.2,116.9,52.6,40.7,55.4,18.9,M,N,ABSENT,0,2.2,ORANGE,3,2.689486553,18,non-ovigerous,2021-10
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,"L1,SPINE",111.4,102.6,121.2,59.4,41.8,55.4,16,M,N,ABSENT,0,2.96,ORANGE,3,2.657091562,18,non-ovigerous,2021-10
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,106.21,123.22,123.65,57.67,41.08,53.89,18.56,m,absent,ABSENT,0,2.82,ORANGE,3,2.655117221,18,non-ovigerous,2020-10
10/14/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,"R3,R4,R5",74,86.5,106.11,55.3,37,48.5,14.3,M,N,ABSENT,0,1.94,ORANGE,3,2.621621622,18,non-ovigerous,2021-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,85.52,89.3,110.15,54.02,40.67,42.82,14.38,M,N,ABSENT,0,2.2,DARK ORANGE,3,2.572497661,18,non-ovigerous,2021-07
7/13/21,July,2021,AP,Trap,5,1,SIMILIS,F,H,OK,60.73,80.01,95.4,46.63,34.42,50.94,15.58,M,N,ABSENT,0,1.56,ORANGE,3,2.568746913,18,non-ovigerous,2021-07
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,"R4,R5",91.5,91.15,112.2,55.56,42.22,50.06,15.58,M,N,ABSENT,0,2.35,ORANGE,3,2.568306011,18,non-ovigerous,2021-07
4/21/21,April,2021,BC,Trap,5,1,ORNATUS,F,H,OK,85.3,88.72,107.52,55.84,37.06,45.85,13.6,M,N,ABSENT,0,2.17,ORANGE,3,2.543962485,18,non-ovigerous,2021-04
10/21/20,October,2020,DY,Trap,5,1,SAPIDUS,F,hard,"R1,L1,L4",76.26,93.62,118.35,54.1,40.55,x,x,m,absent,ABSENT,0,1.92,ORANGE,3,2.517702596,18,non-ovigerous,2020-10
7/13/21,July,2021,BC,Trap,5,1,BOCOURTI,F,H,R5,82.39,83.3,95.43,50.05,35.55,47.7,16.73,M,N,ABSENT,0,2.05,DARK ORANGE,3,2.48816604,18,non-ovigerous,2021-07
4/19/21,April,2021,IM,Trap,5,1,BOCOURTI,F,H,OK,78.76,86.94,107.47,57.85,40.42,46.28,12.98,M,N,ABSENT,0,1.84,ORANGE,3,2.336211275,18,non-ovigerous,2021-04
7/13/21,July,2021,BC,Trap,5,1,BOCOURTI,F,H,OK,102.92,95.87,114.5,56.35,39.66,49.08,15.71,M,N,ABSENT,0,2.32,DARK ORANGE,3,2.254178002,18,non-ovigerous,2021-07
7/14/21,July,2021,AP,Trap,5,1,ORNATUS,F,H,"L4,L5",106,94.25,114.02,57.96,42.42,49.67,15.44,M,N,ABSENT,0,2.34,ORANGE,3,2.20754717,18,non-ovigerous,2021-07
1/19/21,January,2021,AP,Trap,5,1,BOCOURTI,F,H,-,85,74.41,78.94,49.49,34.39,48.74,15.54,M,N,ABSENT,0,1.87,ORANGE,3,2.2,18,non-ovigerous,2021-01
7/15/21,July,2021,DY,Trap,5,1,BOCOURTI,F,H,"R1,R4",84.43,94.24,110.87,56.68,40.08,47.34,13.24,M,N,ABSENT,0,1.82,ORANGE,3,2.155631884,18,non-ovigerous,2021-07
4/20/21,April,2021,BC,Trap,5,1,BOCOURTI,F,NA,OK,67.2,84.92,108.35,58.3,40.98,41.83,11.98,M,N,ABSENT,0,1.41,ORANGE,3,2.098214286,18,non-ovigerous,2021-04
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,chipped abdomen,"chipped abdomen, missing R4",92,85.08,96.9,52.94,33.35,50.17,18.99,M,N,ABSENT,0,1.88,DARK ORANGE,3,2.043478261,18,non-ovigerous,2021-04
4/20/21,April,2021,AP,Trap,5,1,BOCOURTI,F,no,OK,69.23,79.25,89.63,48,30.33,43.84,15.73,M,N,ABSENT,0,1.41,DARK ORANGE,3,2.036689297,18,non-ovigerous,2021-04
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,84.3,89.8,109.84,54.3,39.95,45.5,14.43,M,N,ABSENT,0,1.7,ORANGE,3,2.016607355,18,non-ovigerous,2021-07
1/19/21,January,2021,BC,Trap,5,1,ORNATUS,F,H,-,58.2,78.49,98.91,46.4,33.98,45.09,16.11,M,N,ABSENT,0,1.13,ORANGE,3,1.941580756,18,non-ovigerous,2021-01
7/13/21,July,2021,BC,Trap,5,1,BOCOURTI,F,H,L3,96.17,85.06,96.61,53.26,36.64,49.85,21.1,M,N,ABSENT,0,1.84,ORANGE,3,1.913278569,18,non-ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,"R1,L4",84,70,111,57,41,46,15.4,m,absent,ABSENT,0,1.6,DARK ORANGE,3,1.904761905,18,non-ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,79.86,95,115,55,38,53,15,M,N,ABSENT,0,1.487,LIGHT ORANGE,2,1.862008515,18,non-ovigerous,2021-01
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,98.53,86.53,100.93,54.31,37.71,52.15,20,M,N,ABSENT,0,1.8,DARK ORANGE,3,1.826854765,18,non-ovigerous,2021-07
10/15/21,October,2021,BC,Trap,5,1,LARVATUS,F,NA,OK,36.8,65.5,81.8,37.3,28.7,40.7,14.5,M,N,ABSENT,0,0.67,ORANGE,3,1.820652174,18,non-ovigerous,2021-10
10/21/20,October,2020,DY,Trap,5,1,BOCOURTI,F,hard,"R1,L1,R4",90.11,96.6,117.58,58.29,41.52,x,x,m,absent,ABSENT,0,1.62,DARK ORANGE,3,1.797802686,18,non-ovigerous,2020-10
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,94.71,89.59,100.09,55.29,37.6,50.07,20.93,M,N,ABSENT,0,1.7,LIGHT ORANGE,2,1.794953014,18,non-ovigerous,2021-04
4/21/21,April,2021,AP,Trap,5,1,ORNATUS,F,H,OK,78.91,87.54,103.15,54.21,37.58,45.91,14.69,M,N,ABSENT,0,1.33,BEIGE,1,1.685464453,18,non-ovigerous,2021-04
10/14/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,"L1,L3",80.1,91.1,109.8,56.6,36.5,-,13.2,M,N,ABSENT,0,1.35,ORANGE,3,1.685393258,18,non-ovigerous,2021-10
10/13/21,October,2021,BC,Trap,5,1,BOCOURTI,F,NA,OK,68.07,80.09,91.41,48.15,33.43,41.65,14.35,M,N,ABSENT,0,1.09,ORANGE,3,1.601292787,18,non-ovigerous,2021-10
10/13/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,"R1,L1",76.28,91.48,112.1,55.9,41.38,NA,NA,M,N,ABSENT,0,1.2,ORANGE,3,1.573151547,18,non-ovigerous,2021-10
10/20/20,October,2020,BC,Trap,5,1,SAPIDUS,F,hard,R1,86.19,93.18,116.43,53.28,37.98,46.81,15.22,m,absent,ABSENT,0,1.33,ORANGE,3,1.543102448,18,non-ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,102.57,105,126,60,42,54,16,M,N,ABSENT,0,1.57,ORANGE,3,1.530661987,18,non-ovigerous,2021-01
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,124,76,117,61,41.2,57,21,m,absent,ABSENT,0,1.8,LIGHT ORANGE,2,1.451612903,18,non-ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,77,98.39,122.76,56.83,40.24,N/A,N/A,M,N,ABSENT,0,1.1,ORANGE,3,1.428571429,18,non-ovigerous,2021-01
10/14/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,"R3,R5",60.87,79.98,101.06,45.94,33.99,41.68,15.12,M,N,ABSENT,0,0.86,ORANGE,3,1.412847051,18,non-ovigerous,2021-10
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,"R1,L1",109,84.3,127,61,44,NA,NA,m,absent,ABSENT,0,1.5,ORANGE,3,1.376146789,18,non-ovigerous,2020-10
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,"L4,L5",108.53,89.57,103.09,54.27,37.66,52.26,17.93,M,N,ABSENT,0,1.44,ORANGE,3,1.326822077,18,non-ovigerous,2021-07
4/20/21,April,2021,AP,Trap,5,1,BOCOURTI,F,spine,"L1, R1, R3, L3",60.52,80.72,88.79,57.58,35.22,N/A,N/A,M,N,ABSENT,0,0.77,DARK ORANGE,3,1.272306675,18,non-ovigerous,2021-04
7/15/21,July,2021,BC,Trap,5,1,sp,F,H,R1,21.4,50.08,73.41,33.36,19.96,29.95,7.76,M,N,ABSENT,0,0.27,ORANGE,3,1.261682243,18,non-ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,"R1,L5",64,60,89.2,48.2,32,41,15.2,m,absent,ABSENT,0,0.8,ORANGE,3,1.25,18,non-ovigerous,2020-10
4/20/21,April,2021,AP,Trap,5,1,SAPIDUS,F,H,NA,109.04,97.47,122.97,62.49,42.55,55.87,20.41,M,N,ABSENT,0,1.36,LIGHT ORANGE,2,1.247248716,18,non-ovigerous,2021-04
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,L4,80.3,63,105,53,38,44,14.8,m,absent,ABSENT,0,1,ORANGE,3,1.245330012,18,non-ovigerous,2020-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,73.26,82.31,98.89,50,31.12,46.66,13.34,M,N,ABSENT,0,0.85,BEIGE,1,1.16025116,18,non-ovigerous,2021-07
4/21/21,April,2021,DY,Trap,5,1,SAPIDUS,F,NA,OK,91.56,96.67,119.9,54.43,37.77,48.84,15.53,M,N,ABSENT,0,1.01,LIGHT ORANGE,2,1.103101791,18,non-ovigerous,2021-04
10/13/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,MAT,117.6,100.4,123.3,58.9,40,60.6,21.1,M,N,ABSENT,0,1.29,DARK ORANGE,3,1.096938776,18,non-ovigerous,2021-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,"L1,L4",62.16,78.9,93.37,48.86,29.98,39.96,11.2,M,N,ABSENT,0,0.68,DARK ORANGE,3,1.093951094,18,non-ovigerous,2021-07
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,82.34,87.38,107.15,57.18,34.5,50.12,14.82,M,N,ABSENT,0,0.9,LIGHT ORANGE,2,1.093028905,18,non-ovigerous,2021-07
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,82.01,81.49,93.52,49.97,31.78,47.32,14.38,M,N,ABSENT,0,0.82,LIGHT ORANGE,2,0.999878064,18,non-ovigerous,2021-04
10/14/21,October,2021,BC,Trap,5,1,SAPIDUS,F,NA,"R1,L1,L5",91.9,101.5,131.2,58.7,41.7,-,-,M,N,ABSENT,0,0.86,YELLOW,2,0.935799782,18,non-ovigerous,2021-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,106.72,94.63,112.43,57.27,42.75,55.04,18.97,M,N,ABSENT,0,0.98,LIGHT ORANGE,2,0.918290855,18,non-ovigerous,2021-07
4/20/21,April,2021,AP,Trap,5,1,SIMILIS,F,broken spine,"L1, spine",52.69,76.87,89,53.35,34.32,44.31,13.65,M,N,ABSENT,0,0.46,ORANGE,3,0.873030936,18,non-ovigerous,2021-04
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,110.5,98.62,121.05,58.18,44.25,54.42,19.88,M,N,ABSENT,0,0.92,BEIGE,1,0.832579186,18,non-ovigerous,2021-10
7/14/21,July,2021,AP,Trap,5,1,ORNATUS,F,H,R2,84.9,86.25,104.91,54.3,38.47,46.25,15.1,M,N,ABSENT,0,0.7,BEIGE,1,0.824499411,18,non-ovigerous,2021-07
10/14/21,October,2021,DY,Trap,5,1,SAPIDUS,F,NA,OK,96.4,94.3,117.5,55.3,42.2,54,17.6,M,N,ABSENT,0,0.77,BEIGE,1,0.798755187,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,129,106.45,136.52,62.37,45.46,56.57,17.67,M,N,ABSENT,0,1.03,BEIGE,1,0.798449612,18,non-ovigerous,2021-01
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,DIRTY,72.74,84.57,105.39,52.02,37.61,48.02,12.75,M,N,ABSENT,0,0.58,BEIGE,1,0.797360462,18,non-ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,"L1,R4",65,68,106,49.77,36,44,17,m,absent,ABSENT,0,0.5,ORANGE,3,0.769230769,18,non-ovigerous,2020-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,87.98,90.07,100.04,53.35,32.36,48.87,14.42,M,N,ABSENT,0,0.67,BEIGE,1,0.761536713,18,non-ovigerous,2021-07
10/13/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,L1 (HOLES),76.05,86.17,100.05,54.61,39.16,47.3,16.03,M,N,ABSENT,0,0.56,BEIGE,1,0.736357659,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,BOCOURTI,F,H,"R1,4 - L1",69,80.1,95.72,51.07,34.42,44.2,14.07,M,N,ABSENT,0,0.49,BEIGE,1,0.710144928,18,non-ovigerous,2021-01
10/21/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,R1,54.13,80,97.63,48.38,36.26,38.63,12.01,M,absent,ABSENT,0,0.38,BEIGE,1,0.702013671,18,non-ovigerous,2020-10
10/13/21,October,2021,BC,Trap,5,1,SAPIDUS,F,NA,MAT,73.26,88.23,113.7,50.5,37.4,44.6,16.4,M,N,ABSENT,0,0.49,BEIGE,1,0.668850669,18,non-ovigerous,2021-10
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,DIRTY,75.32,80.41,91.86,48.17,33.59,42.95,16.1,M,N,ABSENT,0,0.5,DARK ORANGE,3,0.663834307,18,non-ovigerous,2021-07
10/14/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,73.89,84.84,101.55,51.58,36.94,47.74,16.29,M,N,ABSENT,0,0.48,BEIGE,1,0.649614292,18,non-ovigerous,2021-10
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,OK,93,75.4,112,55.41,39.1,46.7,18.12,M,absent,ABSENT,0,0.6,WHITE,1,0.64516129,18,non-ovigerous,2020-10
7/14/21,July,2021,AP,Trap,5,1,ORNATUS,F,H,OK,73.28,84.51,100,51.1,N/A,45.54,13.27,M,N,ABSENT,0,0.47,BEIGE,1,0.641375546,18,non-ovigerous,2021-07
7/14/21,July,2021,AP,Trap,5,1,ORNATUS,F,H,OK,74.38,85.59,100.53,51.17,31.19,42.3,13.35,M,N,ABSENT,0,0.38,BEIGE,1,0.510890024,18,non-ovigerous,2021-07
1/19/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,R2,83,91.35,114.64,52.07,38.79,49.8,15.85,M,N,ABSENT,0,0.39,ORANGE,3,0.469879518,18,non-ovigerous,2021-01
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,81.08,91.86,112.64,54.4,40.86,46.09,15.39,M,N,ABSENT,0,0.36,BEIGE,1,0.44400592,18,non-ovigerous,2021-07
7/13/21,July,2021,DY,Trap,5,1,SAPIDUS,F,H,OK,101.22,100,124.33,56.65,41.11,50,20.01,M,N,ABSENT,0,0.36,BEIGE,1,0.355660937,18,non-ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,ORNATUS,F,hard,"L1,R3",60.4,64,95.5,49.2,36.1,44,14,m,absent,ABSENT,0,0.2,LIGHT ORANGE,2,0.331125828,18,non-ovigerous,2020-10
10/13/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,L4,73.75,85.88,103.37,53.17,37.87,42.66,13.8,M,N,ABSENT,0,0.18,BEIGE,1,0.244067797,18,non-ovigerous,2021-10
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,128.09,97.78,128.09,57.81,38.42,56.44,19.87,M,NA,ABSENT,0,0.26,BEIGE,1,0.202982278,18,non-ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,BOCOURTI,F,H,L1,56.65,76,86,46,32,45,14,M,N,ABSENT,0,0.05,BEIGE,1,8.83E-02,18,non-ovigerous,2021-01
4/19/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,73.62,81.25,97.68,50.96,33.47,45.17,15.19,M,N,ABSENT,0,0.01,WHITE,1,1.36E-02,18,non-ovigerous,2021-04
